RAW_DATA|GIVEN_NAME|TOP_NICKNAME|ALL_NICKNAMES_ORDERED
epaphroditius,dite,ditus,eppa,dyche,dyce|epaphroditius|dite|dite,ditus,dyce,dyche,eppa
ephraim,eph|ephraim|eph|eph
erasmus,raze,rasmus|erasmus|raze|rasmus,raze
eric,rick,ricky|eric|rick|rick,ricky
ernest,ernie|ernest|ernie|ernie
ernestine,teeny,ernest,tina,erna|ernestine|tina|erna,ernest,teeny,tina
erwin,irwin|erwin|irwin|irwin
eseneth,senie|eseneth|senie|senie
essy,es|essy|es|es
estella,essy,stella|estella|stella|essy,stella
estelle,essy,stella|estelle|stella|essy,stella
esther,hester,essie|esther|essie|essie,hester
eudicy,dicey|eudicy|dicey|dicey
eudora,dora|eudora|dora|dora
eudoris,dossie,dosie|eudoris|dosie|dosie,dossie
eugene,gene|eugene|gene|gene
eunice,nicie|eunice|nicie|nicie
euphemia,effie,effy|euphemia|effie|effie,effy
eurydice,dicey|eurydice|dicey|dicey
eustacia,stacia,stacy|eustacia|stacy|stacia,stacy
eva,eve|eva|eve|eve
evaline,eva,lena,eve|evaline|eve|eva,eve,lena
evangeline,ev,evan,vangie|evangeline|ev|ev,evan,vangie
evelyn,evelina,ev,eve|evelyn|eve|ev,eve,evelina
experience,exie|experience|exie|exie
ezekiel,zeke,ez|ezekiel|zeke|ez,zeke
ezideen,ez|ezideen|ez|ez
ezra,ez|ezra|ez|ez
faith,fay|faith|fay|fay
felicia,fel,felix,feli|felicia|feli|fel,feli,felix
felicity,flick,tick|felicity|flick|flick,tick
feltie,felty|feltie|felty|felty
ferdinand,freddie,freddy,ferdie,fred|ferdinand|fred|ferdie,fred,freddie,freddy
ferdinando,nando,ferdie,fred|ferdinando|fred|ferdie,fred,nando
fidelia,delia|fidelia|delia|delia
flo,florence|flo|florence|florence
flora,florence|flora|florence|florence
florence,flossy,flora,flo|florence|flo|flo,flora,flossy
floyd,lloyd|floyd|lloyd|lloyd
fran,frannie|fran|frannie|frannie
frances,sis,cissy,frankie,franniey,fran,francie,frannie,fanny|frances|cissy|cissy,fanny,fran,francie,frankie,frannie,franniey,sis
francie,francine|francie|francine|francine
francine,franniey,fran,frannie,francie|francine|fran|fran,francie,frannie,franniey
francis,fran,frankie,frank|francis|frank|fran,frank,frankie
frank,franklin|frank|franklin|franklin
frankie,frank,francis|frankie|frank|francis,frank
franklin,fran,frank|franklin|frank|fran,frank
franklind,frank|franklind|frank|frank
fred,freddy,frederick|fred|freddy|freddy,frederick
freda,frieda|freda|frieda|frieda
frederica,frederick|frederica|frederick|frederick
frederick,freddie,freddy,fritz,fred|frederick|fred|fred,freddie,freddy,fritz
fredericka,freddy,ricka,freda,frieda|fredericka|freda|freda,freddy,frieda,ricka
frieda,freddie,freddy,fred|frieda|freddie|fred,freddie,freddy
gabby,gabriella,gabe,gabrielle|gabby|gabriella|gabe,gabriella,gabrielle
gabe,gabriel|gabe|gabriel|gabriel
gabriel,gabe,gabby|gabriel|gabe|gabby,gabe
gabriella,ella,gabby|gabriella|ella|ella,gabby
gabrielle,ella,gabby|gabrielle|elle|elle,gabby
genevieve,jean,eve,jenny|genevieve|eve|eve,jean,jenny
geoff,geoffrey,jeffrey,jeff|geoff|jeff|geoffrey,jeff,jeffrey
geoffrey,geoff,jeff|geoffrey|geoff|geoff,jeff
george,jorge,georgiana|george|jorge|georgiana,jorge
georgia,george,georgiana|georgia|george|george,georgiana
gerald,gerry,jerry|gerald|gerry|gerry,jerry
geraldine,gerry,gerrie,jerry,dina|geraldine|gerrie|dina,gerrie,gerry,jerry
gerhardt,gay|gerhardt|gay|gay
gerrie,geraldine|gerrie|geraldine|geraldine
gerry,gerald,geraldine,jerry|gerry|gerald|gerald,geraldine,jerry
gert,gertie|gert|gertie|gertie
gertie,gertrude|gertie|gertrude|gertrude
gertrude,gertie,gert,trudy|gertrude|trudy|gert,gertie,trudy
gil,gilbert|gil|gilbert|gilbert
gilbert,bert,gil,wilber|gilbert|bert|bert,gil,wilber
gloria,glory|gloria|glory|glory
governor,govie|governor|govie|govie
greenberry,green,berry|greenberry|berry|berry,green
gregory,greg|gregory|greg|greg
gretchen,margaret|gretchen|margaret|margaret
griselda,grissel|griselda|grissel|grissel
gum,monty|gum|monty|monty
gus,gussie|gus|gussie|gussie
gustavus,gus|gustavus|gus|gus
gwen,gwendolyn,wendy|gwen|wendy|gwendolyn,wendy
gwendolyn,gwen,wendy|gwendolyn|gwen|gwen,wendy
hamilton,ham|hamilton|ham|ham
hannah,nan,nanny,anna|hannah|nan|anna,nan,nanny
harold,hal,harry|harold|harry|hal,harry
harriet,hattie|harriet|hattie|hattie
harry,harold,henry|harry|harold|harold,henry
haseltine,hassie|haseltine|hassie|hassie
heather,hetty|heather|hetty|hetty
helen,lena,ella,ellen,ellie|helen|lena|ella,ellen,ellie,lena
helena,eileen,lena,nell,nellie,eleanor,elaine,ellen,aileen|helena|ellen|aileen,eileen,elaine,eleanor,ellen,lena,nell,nellie
helene,lena,ella,ellen,ellie|helene|lena|ella,ellen,ellie,lena
heloise,lois,eloise,elouise|heloise|lois|eloise,elouise,lois
henrietta,hank,etta,etty,retta,nettie|henrietta|etta|etta,etty,hank,nettie,retta
henry,hank,hal,harry|henry|hank|hal,hank,harry
hephsibah,hipsie|hephsibah|hipsie|hipsie
hepsibah,hipsie|hepsibah|hipsie|hipsie
herb,herbert|herb|herbert|herbert
herbert,bert,herb|herbert|bert|bert,herb
herman,harman,dutch|herman|dutch|dutch,harman
hermione,hermie|hermione|hermie|hermie
hester,hessy,esther,hetty|hester|hetty|esther,hessy,hetty
hezekiah,hy,hez,kiah|hezekiah|hy|hez,hy,kiah
hiram,hy|hiram|hy|hy
honora,honey,nora,norry,norah|honora|nora|honey,nora,norah,norry
hopkins,hopp,hop|hopkins|hop|hop,hopp
horace,horry|horace|horry|horry
hortense,harty,tensey|hortense|harty|harty,tensey
hosea,hosey,hosie|hosea|hosie|hosey,hosie
howard,hal,howie|howard|howie|hal,howie
hubert,bert,hugh,hub|hubert|hugh|bert,hub,hugh
ian,john|ian|john|john
ignatius,natius,iggy,nate,nace|ignatius|nate|iggy,nace,nate,natius
ignatzio,naz,iggy,nace|ignatzio|iggy|iggy,nace,naz
immanuel,manuel,emmanuel|immanuel|manuel|emmanuel,manuel
india,indie,indy|india|indy|indie,indy
inez,agnes|inez|agnes|agnes
iona,onnie|iona|onnie|onnie
irene,rena|irene|rena|rena
irvin,irving|irvin|irving|irving
irving,irv|irving|irv|irv
irwin,erwin|irwin|erwin|erwin
isaac,ike,zeke|isaac|ike|ike,zeke
isabel,tibbie,bell,nib,belle,bella,nibby,ib,issy|isabel|bell|bell,bella,belle,ib,issy,nib,nibby,tibbie
isabella,tibbie,nib,belle,bella,nibby,ib,issy|isabella|bella|bella,belle,ib,issy,nib,nibby,tibbie
isabelle,tibbie,nib,belle,bella,nibby,ib,issy|isabelle|belle|bella,belle,ib,issy,nib,nibby,tibbie
isadora,issy,dora|isadora|dora|dora,issy
isaiah,zadie,zay|isaiah|zay|zadie,zay
isidore,izzy|isidore|izzy|izzy
iva,ivy|iva|ivy|ivy
ivan,john|ivan|john|john
jackson,jack|jackson|jack|jack
jacob,jaap,jake,jay|jacob|jake|jaap,jake,jay
jacobus,jacob|jacobus|jacob|jacob
jacqueline,jackie,jack|jacqueline|jackie|jack,jackie
jahoda,hody,hodie,hoda|jahoda|hodie|hoda,hodie,hody
james,jimmy,jim,jamie,jimmie,jem|james|jim|jamie,jem,jim,jimmie,jimmy
jamie,james,ben|jamie|james|ben,james
jane,janie,jessie,jean,jennie|jane|jennie|janie,jean,jennie,jessie
janet,jan,jessie|janet|jan|jan,jessie
janice,jan|janice|jan|jan
jannett,nettie|jannett|nettie|nettie
jasper,jap,casper|jasper|casper|casper,jap
jayme,jay|jayme|jay|jay
jean,jane,jeannie|jean|jane|jane,jeannie
jeanette,jessie,jean,janet,nettie|jeanette|jean|janet,jean,jessie,nettie
jeanne,jane,jeannie|jeanne|jane|jane,jeannie
jeb,jebadiah|jeb|jebadiah|jebadiah
jedediah,dyer,jed,diah|jedediah|jed|diah,dyer,jed
jedidiah,jed|jedidiah|jed|jed
jeff,geoffrey,jeffrey|jeff|jeffrey|geoffrey,jeffrey
jefferey,jeff|jefferey|jeff|jeff
jefferson,sonny,jeff|jefferson|sonny|jeff,sonny
jeffrey,geoff,jeff|jeffrey|jeff|geoff,jeff
jehiel,hiel|jehiel|hiel|hiel
jehu,hugh,gee|jehu|hugh|gee,hugh
jemima,mima|jemima|mima|mima
jennet,jessie,jenny|jennet|jenny|jenny,jessie
jennifer,jennie|jennifer|jennie|jennie
jenny,jennifer|jenny|jennifer|jennifer
jeremiah,jereme,jerry|jeremiah|jerry|jereme,jerry
jerita,rita|jerita|rita|rita
jerry,jereme,geraldine|jerry|geraldine|geraldine,jereme
jessica,jessie|jessica|jessie|jessie
jessie,jane,jess,janet|jessie|jess|jane,janet,jess
jim,jimmie|jim|jimmie|jimmie
jincy,jane|jincy|jane|jane
jinsy,jane|jinsy|jane|jane
joan,jo,nonie|joan|jo|jo,nonie
joann,jo|joann|jo|jo
joanna,hannah,jody,jo,joan|joanna|jo|hannah,jo,joan,jody
joanne,jo|joanne|jo|jo
jody,jo|jody|jo|jo
joe,joseph,joey|joe|joey|joey,joseph
joey,joseph|joey|joseph|joseph
johanna,jo|johanna|jo|jo
johannah,hannah,jody,joan,nonie|johannah|hannah|hannah,joan,jody,nonie
johannes,jonathan,johnjohnny|johannes|john|john,johnny,jonathan
john,jack,johnny,jock|john|jack|jack,jock,johnny
jon,john,nathan|jon|john|john,nathan
jonathan,john,nathan|jonathan|nathan|john,nathan
joseph,jody,jos,joe,joey|joseph|joe|jody,joe,joey,jos
josephine,fina,jody,jo,josey,joey|josephine|jo|fina,jo,jody,joey,josey
josetta,jettie|josetta|jettie|jettie
josey,josophine|josey|josophine|josophine
josh,joshua|josh|joshua|joshua
joshua,jos,josh|joshua|josh|jos,josh
josiah,jos|josiah|jos|jos
joyce,joy|joyce|joy|joy
juanita,nita,nettie|juanita|nita|nettie,nita
judah,juder,jude|judah|jude|jude,juder
judith,judie,juda,judy,judi,jude|judith|judy|juda,jude,judi,judie,judy
judson,sonny,jud|judson|jud|jud,sonny
judy,judith|judy|judith|judith
julia,julie,jill|julia|julie|jill,julie
julian,jule|julian|jule|jule
julias,jule|julias|jule|jule
julie,julia,jule|julie|jules|jule,jules,julia
june,junius|june|junius|junius
junior,junie,june,jr|junior|june|jr,june,junie
justin,justus,justina|justin|justus|justina,justus
karonhappuck,karon,karen,carrie,happy|karonhappuck|karen|carrie,happy,karen,karon
kasey,k.c.|kasey|k.c.|k.c.
katarina,catherine,tina|katarina|catherine|catherine,tina
kate,kay|kate|kay|kay
katelin,kay,kate,kaye|katelin|kate|kate,kay,kaye
katelyn,kay,kate,kaye|katelyn|kate|kate,kay,kaye
katherine,kathy,katy,lena,kittie,kaye,kit,trina,cathy,kay,kate,cassie|katherine|kate|cassie,cathy,kate,kathy,katy,kay,kaye,kit,kittie,lena,trina
kathleen,kathy,katy,lena,kittie,kit,trina,cathy,kay,cassie|kathleen|kathy|cassie,cathy,kathy,katy,kay,kit,kittie,lena,trina
kathryn,kathy|kathryn|kathy|kathy
katy,kathy|katy|kathy|kathy
kayla,kay|kayla|kay|kay
ken,kenneth|ken|kenneth|kenneth
kendall,ken,kenny|kendall|ken|ken,kenny
kendra,kenj,kenji,kay,kenny|kendra|kay|kay,kenj,kenji,kenny
kendrick,ken,kenny|kendrick|ken|ken,kenny
kenneth,ken,kenny,kendrick|kenneth|ken|ken,kendrick,kenny
kenny,ken,kenneth|kenny|ken|ken,kenneth
kent,ken,kenny,kendrick|kent|ken|ken,kendrick,kenny
keziah,kizza,kizzie|keziah|kizzie|kizza,kizzie
kim,kimberly,kimberley|kim|kimberly|kimberley,kimberly
kimberley,kim|kimberley|kim|kim
kimberly,kim|kimberly|kim|kim
kingsley,king|kingsley|king|king
kingston,king|kingston|king|king
kit,kittie|kit|kittie|kittie
kris,chris|kris|chris|chris
kristel,kris|kristel|kris|kris
kristen,chris|kristen|chris|chris
kristin,chris|kristin|chris|chris
kristine,kris,kristy,tina,christy,chris,crissy|kristine|tina|chris,christy,crissy,kris,kristy,tina
kristopher,chris,kris|kristopher|kris|chris,kris
kristy,chris|kristy|chris|chris
lafayette,laffie,fate|lafayette|fate|fate,laffie
lamont,monty|lamont|monty|monty
laodicia,dicy,cenia|laodicia|dicy|cenia,dicy
larry,laurence,lawrence|larry|lawrence|laurence,lawrence
lauren,ren,laurie|lauren|laurie|laurie,ren
laurence,lorry,larry,lon,lonny,lorne|laurence|larry|larry,lon,lonny,lorne,lorry
laurinda,laura,lawrence|laurinda|laura|laura,lawrence
lauryn,laurie|lauryn|laurie|laurie
laveda,veda|laveda|veda|veda
laverne,vernon,verna|laverne|vernon|verna,vernon
lavina,vina,viney,ina|lavina|vina|ina,vina,viney
lavinia,vina,viney,ina|lavinia|vina|ina,vina,viney
lavonia,vina,vonnie,wyncha,viney|lavonia|vonnie|vina,viney,vonnie,wyncha
lavonne,von|lavonne|von|von
lawrence,lorry,larry,lon,lonny,lorne|lawrence|larry|larry,lon,lonny,lorne,lorry
leanne,lea,annie|leanne|lea|annie,lea
lecurgus,curg|lecurgus|curg|curg
lemuel,lem|lemuel|lem|lem
lena,ellen|lena|ellen|ellen
lenora,nora,lee|lenora|nora|lee,nora
leo,leon|leo|leon|leon
leonard,lineau,leo,leon,len,lenny|leonard|leo|len,lenny,leo,leon,lineau
leonidas,lee,leon|leonidas|leon|lee,leon
leonora,nora,nell,nellie|leonora|nora|nell,nellie,nora
leonore,nora,honor,elenor|leonore|nora|elenor,honor,nora
leroy,roy,lee,l.r.|leroy|lee|l.r.,lee,roy
les,lester|les|lester|lester
leslie,les|leslie|les|les
lester,les|lester|les|les
letitia,tish,titia,lettice,lettie|letitia|tish|lettice,lettie,tish,titia
levi,lee|levi|lee|lee
levicy,vicy|levicy|vicy|vicy
levone,von|levone|von|von
lib,libby|lib|libby|libby
lidia,lyddy|lidia|lyddy|lyddy
lil,lilly,lily|lil|lily|lilly,lily
lillah,lil,lilly,lily,lolly|lillah|lil|lil,lilly,lily,lolly
lillian,lil,lilly,lolly|lillian|lilly|lil,lilly,lolly
lilly,lily|lilly|lily|lily
lincoln,link|lincoln|link|link
linda,lindy,lynn|linda|lynn|lindy,lynn
lindy,lynn|lindy|lynn|lynn
lionel,leon|lionel|leon|leon
lisa,lizzie,alice,liz,melissa|lisa|liz|alice,liz,lizzie,melissa
littleberry,little,berry,l.b.|littleberry|little|berry,l.b.,little
liz,elizabeth|liz|elizabeth|elizabeth
lizzie,elizabeth,liz|lizzie|liz|elizabeth,liz
lois,lou,louise|lois|louise|lou,louise
lon,lonzo|lon|lonzo|lonzo
lorenzo,loren|lorenzo|loren|loren
loretta,etta,lorrie,retta|loretta|etta|etta,lorrie,retta
lorraine,lorrie|lorraine|lorrie|lorrie
lotta,lottie|lotta|lottie|lottie
lou,louis,lu|lou|louis|louis,lu
louis,lewis,louise,louie,lou|louis|lou|lewis,lou,louie,louise
louisa,eliza,lou,lois|louisa|lois|eliza,lois,lou
louise,eliza,lou,lois|louise|lou|eliza,lois,lou
louvinia,vina,vonnie,wyncha,viney|louvinia|vonnie|vina,viney,vonnie,wyncha
lucas,luke|lucas|luke|luke
lucia,lucy,lucius|lucia|lucy|lucius,lucy
lucias,luke|lucias|luke|luke
lucille,cille,lu,lucy,lou|lucille|lucy|cille,lou,lu,lucy
lucina,sinah|lucina|sinah|sinah
lucinda,lu,lucy,cindy,lou|lucinda|lu|cindy,lou,lu,lucy
lucretia,creasey|lucretia|creasey|creasey
lucy,lucinda|lucy|lucinda|lucinda
luella,lula,ella,lu|luella|lu|ella,lu,lula
luke,lucas|luke|lucas|lucas
lunetta,nettie|lunetta|nettie|nettie
lurana,lura|lurana|lura|lura
luther,luke|luther|luke|luke
lydia,lyddy|lydia|lyddy|lyddy
lyndon,lindy,lynn|lyndon|lynn|lindy,lynn
mabel,mehitabel,amabel|mabel|amabel|amabel,mehitabel
mac,mc|mac|mc|mc
mack,mac,mc|mack|mac|mac,mc
mackenzie,kenzy,mac,mack|mackenzie|mack|kenzy,mac,mack
maddy,madelyn,madeline,madge|maddy|madelyn|madeline,madelyn,madge
madeline,maggie,lena,magda,maddy,madge|madeline|maddy|lena,maddy,madge,magda,maggie
madie,madeline,madelyn|madie|madelyn|madeline,madelyn
madison,mattie,maddy|madison|maddy|maddy,mattie
magdalena,maggie,lena|magdalena|lena|lena,maggie
magdelina,lena,magda,madge|magdelina|lena|lena,madge,magda
mahala,hallie|mahala|hallie|hallie
malachi,mally|malachi|mally|mally
malcolm,mac,mal,malc|malcolm|mac|mac,mal,malc
malinda,lindy|malinda|lindy|lindy
manda,mandy|manda|mandy|mandy
mandy,amanda|mandy|amanda|amanda
manerva,minerva,nervie,eve,nerva|manerva|eve|eve,minerva,nerva,nervie
manny,manuel|manny|manuel|manuel
manoah,noah|manoah|noah|noah
manola,nonnie|manola|nonnie|nonnie
manuel,emanuel,manny|manuel|manny|emanuel,manny
marcus,mark|marcus|mark|mark
margaret,maggie,meg,peg,midge,margy,margie,madge,peggy,maggy,marge,daisy,margery,gretta,rita|margaret|peg|daisy,gretta,madge,maggie,maggy,marge,margery,margie,margy,meg,midge,peg,peggy,rita
margaretta,maggie,meg,peg,midge,margie,madge,peggy,marge,daisy,margery,gretta,rita|margaretta|peg|daisy,gretta,madge,maggie,marge,margery,margie,meg,midge,peg,peggy,rita
margarita,maggie,meg,metta,midge,greta,megan,maisie,madge,marge,daisy,peggie,rita,margo|margarita|maisie|daisy,greta,madge,maggie,maisie,marge,margo,meg,megan,metta,midge,peggie,rita
marge,margery,margaret,margaretta|marge|margaret|margaret,margaretta,margery
margie,marjorie,margie|margie|marjorie|marjorie
marguerite,peggy|marguerite|peggy|peggy
margy,marjorie|margy|marjorie|marjorie
mariah,mary,maria|mariah|mary|maria,mary
marian,marianna,marion|marian|marion|marianna,marion
marie,mae|marie|mae|mae
marietta,mariah,mercy,polly,may,molly,mitzi,minnie,mollie,mae,maureen,marion,marie,mamie,mary,maria|marietta|molly|mae,mamie,mariah,marie,marion,mary,maureen,may,mercy,minnie,mitzi,mollie,molly,polly
marilyn,mary|marilyn|mary|mary
marion,mary|marion|mary|mary
marissa,rissa|marissa|rissa|rissa
marjorie,margy,margie|marjorie|margie|margie,margy
marsha,marcie,mary|marsha|marcie|marcie,mary
martha,marty,mattie,mat,patsy,patty|martha|patty|marty,mat,mattie,patsy,patty
martin,marty|martin|marty|marty
